problem,uuid,problem_type,question_type,source,answer
"Given $14(a^2+b^2+c^2) = (a+2b+3c)^2$, prove that $a:b:c = 1:2:3$.",8dde27e7-676b-5402-b7b5-f7880353538a,Algebra,proof,cn_k12,a:b:c = 1:2:3
"Given the function $f(x)=\log _{a}(1+x)-\log _{a}(1-x)(a > 0)$, and $a\neq 1$.
(I) Write out the domain of the function $f(x)$, determine the odd or even property of $f(x)$, and prove it;
(II) When $0  0$.",2e3b3b54-abe4-56bc-8198-6791477c286c,Algebra,proof,cn_k12,"(-1,0)"
"Given a sequence $\{a_n\}$ that satisfies $a_n = 3^n - 1$ ($n \in \mathbb{N}^*$), is there a geometric sequence $\{b_n\}$ such that $a_n = b_1c_n^1 + b_2c_n^2 + b_3c_n^3 + \ldots + b_nc_n^n$ holds for all $n$? Prove your conclusion.",c39efdd3-b462-5d44-b139-553bc3c57387,Algebra,proof,cn_k12,\text{Yes}
"Given that $\overrightarrow{a}$ and $\overrightarrow{b}$ are not collinear.  
$(1)$ If $\overrightarrow{AB}=2\overrightarrow{a}+\overrightarrow{b}$, $\overrightarrow{BC}=\overrightarrow{a}-3\overrightarrow{b}$, $\overrightarrow{CD}=-\overrightarrow{a}+\frac{2}{3}\overrightarrow{b}$, prove that points $A$, $C$, and $D$ are collinear.  
$(2)$ If the vectors $\overrightarrow{b}-t\overrightarrow{a}$ and $\frac{1}{2}\overrightarrow{a}-\frac{3}{2}\overrightarrow{b}$ are collinear, find the value of the real number $t$.",a6f33254-0372-5d0e-962f-1954e72571fa,Algebra,proof,cn_k12,\frac{1}{3}
"Given the parabola $C$: $y^{2}=2px(p > 0)$ with focus $F(1,0)$, and $O$ as the origin, $A$ and $B$ are two distinct points on the parabola $C$ other than $O$.  
$(1)$ Find the equation of the parabola $C$;  
$(2)$ If the product of the slopes of lines $OA$ and $OB$ is $- \frac {1}{3}$, prove that line $AB$ passes through a fixed point on the x-axis.",a77315c0-80e2-5980-af16-c12ac179cf6a,Algebra,proof,cn_k12,"(12,0)"
"Given the function $f(x)=\frac{x}{4-{x}^{2}}, x \in (-2,2)$.  
$(1)$ Prove: The function $f(x)$ is monotonically increasing on $(0,2)$.  
$(2)$ Prove: The function $f(x)$ is an odd function.  
$(3)$ Find the solution set of the inequality $f(t)+f(1-2t) > 0$.",ddadd5bc-ce0b-5ac7-b6f9-bef6ac57f2ab,Algebra,proof,cn_k12,"(-\frac{1}{2}, 1)"
"Use the method of contradiction to prove the proposition: ""Given \\(a,b \in \mathbb{R}\\), if \\(a^2 + b^2 = 0\\), then \\(a, b\\) are both \\(0\\)"". The correct assumption for contradiction is:
A: At least one of \\(a, b\\) is not zero
B: At least one of \\(a, b\\) is zero
C: Neither \\(a\\) nor \\(b\\) is zero
D: Only one of \\(a, b\\) is zero",d008c631-ce3e-5d8a-9d00-16771b3ae1c8,Algebra,proof,cn_k12,\text{A}
"Given a sequence $\{a_n\}$ that satisfies $a_1+a_2+a_3+\ldots+a_{n-1}+a_n=n-a_n$ ($n\in\mathbb{N}^*$).

(1) Prove that the sequence $\{a_n-1\}$ is a geometric sequence;  
(2) If $n(1-a_n) \leq t$ ($n\in\mathbb{N}^*$) holds true for all $n$, find the range of the real number $t$.",03e94107-b7eb-5e1c-88f8-182cd10f8549,Algebra,proof,cn_k12,"[\frac{1}{2}, +\infty)"
"Given a parabola $y^{2}=2px(p > 0)$ and a line passing through the focus $F$ of the parabola intersects the parabola at points $A(x_{1},y_{1})$ and $B(x_{2},y_{2})$. Prove that:

$(1)$ $x_{1}x_{2}$ is a constant;

$(2)$ $\dfrac{1}{|FA|}+ \dfrac{1}{|FB|}$ is a constant.",01c14f63-91e6-50f6-a2d1-6e66e1148b89,Algebra,proof,cn_k12,\dfrac{2}{p}
"Given the sequence $\{a_n\}$, where $a_1=2$ and $a_n= \frac {1}{n}+(1- \frac {1}{n})a_{n-1}$ for $n\geqslant 2$ and $n\in\mathbb{N}^*$.

$(1)$ Prove that the sequence $\{na_n\}$ is an arithmetic sequence;

$(2)$ Let $b_n= \frac {1}{n^2a_n}$, and the sum of the first $n$ terms of $\{b_n\}$ be $S_n$. Prove that: $S_n < 1$.",a2fa5b8d-ece9-5000-b48e-72bc4595c3dc,Algebra,proof,cn_k12,S_n < 1
"Let the sequence $\{a_n\}$ have a partial sum $S_n$, which satisfies the equation $S_n = 4a_n - p$, where $p$ is a non-zero constant.

(1) Prove that the sequence $\{a_n\}$ is a geometric progression;
(2) When $p=3$, if the sequence $\{b_n\}$ satisfies $b_{n+1} = b_n + a_n$ for $n \in \mathbb{N}^*$ and $b_1 = 2$, find the general formula for the sequence $\{b_n\}$.",d7531ac0-cdf6-5d53-bfcc-3ef485a3d4f1,Algebra,proof,cn_k12,b_n = 3\left(\frac{4}{3}\right)^{n-1} - 1
"Given $\overrightarrow{a} = (\cos\alpha, \sin\alpha)$, $\overrightarrow{b} = (\cos\beta, \sin\beta)$, where $0 < \alpha < \beta < \pi$.
1. Prove that $\overrightarrow{a} + \overrightarrow{b}$ is perpendicular to $\overrightarrow{a} - \overrightarrow{b}$.
2. If the length of $k\overrightarrow{a} + \overrightarrow{b}$ is equal to the length of $\overrightarrow{a} - k\overrightarrow{b}$, where $k$ is a non-zero constant, find the value of $\beta - \alpha$.",8a92021d-0c59-56ea-be63-daa6e92bad62,Algebra,proof,cn_k12,\frac{\pi}{2}
"Given a sequence $\{a_n\}$ with the first term $a_1=5$ and $a_{n+1}=2a_n+1$ for $n\in\mathbb{N}^*$.  
(1) Prove that the sequence $\{a_n+1\}$ is a geometric sequence;  
(2) Find the general formula for $\{a_n\}$ and the sum of the first $n$ terms $S_n$.",238c0ab2-76fe-500f-ab4c-f28dc1a83244,Algebra,proof,cn_k12,6\cdot2^n-n-6
"Let the function $f(x)=|x+a+1|+|x-\frac{4}{a}|$, where $(a > 0)$.

(Ⅰ) Prove that $f(x) \geqslant 5$;        

(Ⅱ) If $f(1) < 6$ holds, find the range of the real number $a$.",d556b5ba-313b-5159-b6b7-7f85d7d03faa,Algebra,proof,cn_k12,"(1,4)"
"In $\triangle ABC$, the sides opposite to angles $A$, $B$, $C$ are $a$, $b$, $c$ respectively. Given that $\sin A \sin B + \sin B \sin C + \cos 2B = 1$.
(1) Prove that $a$, $b$, $c$ are in arithmetic progression.
(2) If $C = \frac{2\pi}{3}$, find the value of $\frac{a}{b}$.",0ea40df1-2672-5cd1-a789-17883c3f0a02,Algebra,proof,cn_k12,\frac{3}{5}
"Given $a+b+c=0$, prove that $ab+bc+ca \leq 0$.",91c8abec-9e86-5375-bc3a-1f09aadde662,Algebra,proof,cn_k12,ab + bc + ca \leq 0
"Let $f(x)$ be a function defined on $\mathbb{R}$ such that for all $x, y \in \mathbb{R}$, $f(x+y) = f(x) + f(y)$, and when $x > 0$, $f(x) < 0$, with $f(-1) = 2$.  
(1) Prove that $f(x)$ is an odd function;  
(2) Prove that $f(x)$ is a decreasing function on $\mathbb{R}$;  
(3) Find the maximum and minimum values of $f(x)$ on the interval $[-2, 4]$.",c6b09367-7e37-5018-9ba0-5b2cd0b7bd00,Algebra,proof,cn_k12,f_{\text{min}} = f(4) = -8
"In the Cartesian coordinate system $xOy$, the line $l$ intersects the parabola $y^2=2x$ at points $A$ and $B$.  
(1) Prove that: ""If the line $l$ passes through point $T(3,0)$, then $\overrightarrow{OA} \cdot \overrightarrow{OB} = 3$ is a true statement"";  
(2) Write the converse of the statement in (1), determine whether it is true or false, and explain why.",fd9f82fe-1656-5a64-a100-10c66b107a93,Algebra,proof,cn_k12,\text{False}
"20. Let the equation $x^{n}+a_{n-1} x^{n-1}+\cdots+a_{1} x+a_{0}=0$ have real coefficients, and satisfy the condition: $0<a_{0}$ $\leqslant a_{1} \leqslant \cdots \leqslant a_{n-1} \leqslant 1$. Given that $\lambda$ is a complex root of this equation, and satisfies the condition $|\lambda| \geqslant 1$, prove that: $\lambda^{n+1}=1$.",187ee793-ed69-5287-a531-87ee5fa4a03d,Algebra,proof,olympiads,\lambda^{n+1}=1
"4. Rational numbers $a, b$ and $с$ are such that $(a+b+c)(a+b-c)=2 c^{2}$. Prove that $c=0$.

---

Translation:
4. Rational numbers $a, b$ and $c$ are such that $(a+b+c)(a+b-c)=2 c^{2}$. Prove that $c=0$.",23b5f334-e644-50b7-ac35-e5f44f13d1b9,Algebra,proof,olympiads,0
"2. Let $A \in \mathcal{M}_{n}(\mathbb{C})$, with the property $\operatorname{det}\left(A+m I_{n}\right)=m^{n} \operatorname{det}\left(A+\frac{1}{m} I_{n}\right)$, for any $m \in\{1,2, \cdots, n+$ $1\}$, where $I_{n}$ is the identity matrix of order $n$. Show that $\operatorname{det}(A)=1$.",ca82d43b-04ee-5200-abbd-df66ca91696b,Algebra,proof,olympiads,1
"Problem 11.3. Let $n$ be a fixed positive integer. The positive integers $a, b$, $c$ and $d$ are less than or equal to $n, d$ is the largest one and they satisfy the equality

$$
(a b+c d)(b c+a d)(a c+b d)=(d-a)^{2}(d-b)^{2}(d-c)^{2}
$$

a) Prove that $d=a+b+c$.

b) Find the number of the quadruples $(a, b, c, d)$ which have the required properties.

Alexander Ivanov",92790c2f-d7fa-5b36-bc95-ae6e53543264,Algebra,proof,olympiads,\frac{n(n-1)(n-2)}{6}
"## Task A-4.6.

All four intersections of the parabola $y=x^{2}+p x+q$ and the lines $y=x$ and $y=2 x$ are located in the first quadrant. Consider the two segments of the parabola that lie between these lines. Prove that the difference in the lengths of their orthogonal projections onto the $x$-axis is 1.",7b45c5cc-2ba2-5e5c-b4b4-004eef982185,Algebra,proof,olympiads,1
"10. (20 points) The sequence $\left\{B_{n}\right\}$ is defined as
$$
B_{n}=\cot \left(\operatorname{arccot} A_{n}+\operatorname{arccot} A_{n+1}+\operatorname{arccot} A_{n+2}\right) \text {, }
$$

where the sequence $\left\{A_{n}\right\}$ satisfies $A_{1}=1, A_{n+1}=A_{n}+2 n$.
Prove:
$$
\sum_{k=1}^{n} B_{k}=\frac{n\left(n^{2}+3 n-1\right)}{9} .
$$",b10fb2f2-f1c7-5c07-963e-70579f8db317,Algebra,proof,olympiads,\frac{n(n^{2}+3n-1)}{9}
"Problem 11.6. Let $a_{1}, a_{2}, \ldots$ be a sequence of real numbers less than 1 and such that $a_{n+1}\left(a_{n}+2\right)=3, n \geq 1$. Prove that:
a) $-\frac{7}{2}<a_{n}<-2$
б) $a_{n}=-3$ for any $n$.

Nikolai Nikolov",0d1ed43d-908f-5665-a788-85b26cd9b78e,Algebra,proof,olympiads,a_{n}=-3
"Example 5 Let $x, y$ be real numbers, satisfying
$$
\begin{array}{l}
x^{2}+y^{2} \leqslant 1, \\
f(x, y) \\
=x^{n}+\mathrm{C}_{n}^{1} x^{n-1} y-\mathrm{C}_{n}^{2} x^{n-2} y^{2}-\mathrm{C}_{n}^{3} x^{n-3} y^{3}+\cdots+ \\
\quad(-1)^{\left[\frac{k}{2}\right]} \mathrm{C}_{n}^{k} x^{n-k} y^{k}+\cdots+(-1)^{\left[\frac{n}{2}\right]} y^{n},
\end{array}
$$

where $[x]$ denotes the greatest integer not exceeding the real number $x$.
Prove: $|f(x, y)| \leqslant \sqrt{2}$.",387e8eb9-d547-5fab-9253-a07b555cb21f,Algebra,proof,olympiads,\sqrt{2}
"10.1. We consider all possible pairs of quadratic equations $x^{2} + p x + q = 0$ and $x^{2} + q x + p = 0$ such that each equation has two distinct roots. Is it true that the expression $\frac{1}{x_{1} x_{3}} + \frac{1}{x_{1} x_{4}} + \frac{1}{x_{2} x_{3}} + \frac{1}{x_{2} x_{4}}$, where the numbers $x_{1}, x_{2}$ are the roots of the first equation, and the numbers $x_{3}, x_{4}$ are the roots of the second, is the same for all such pairs (i.e., does not depend on the numbers $p$ and $q$)? Justify your answer.",0b0a776e-83b7-52e5-93d9-c4a5ef9a9017,Algebra,proof,olympiads,1
"3. The equations contain square roots of $x, y$, and $z$, as well as fractions with $x, y$, and $z$ in the denominators. Therefore, the variables must be positive. Multiply all three equations by $\sqrt{2}$ and add them. We get:

$\sqrt{2} x+\frac{1}{\sqrt{2} x}+\sqrt{2} y+\frac{1}{\sqrt{2} y}+\sqrt{2} z+\frac{1}{\sqrt{2} z}=$

$=6-2 \sqrt{2 x}|y-z|-\sqrt{2 y}(x-z)^{2}-\sqrt{2 z} \sqrt{|x-y|}$

The right-hand side of the obtained equality does not exceed 6, and equality is achieved only if $\mathrm{x}=\mathrm{y}=\mathrm{z}$. In the left-hand side, we have the sum $f(x)+f(y)+f(z)$, where the function $f$ is defined by the equation $f(t)=\sqrt{2} t+\frac{1}{\sqrt{2} t}$. This function on the positive half-axis has a minimum of 2 at $t=\frac{1}{\sqrt{2}}$. Therefore, the value on the left-hand side is not less than 6. Equality can only be achieved under the condition $x=y=z=\frac{1}{\sqrt{2}}$.",6856916d-5c51-5adc-a401-4845c47bdcbe,Algebra,proof,olympiads,\frac{\sqrt{2}}{2}
"$8 \cdot 135$ Let $a_{0}>0$ and
$$
a_{n+1}=\frac{a_{n}^{2}-1}{n+1}, n \geqslant 0 .
$$

Prove that there exists a real number $a>0$, such that
(i) if $a_{0} \geqslant a$, then as $n \rightarrow+\infty$, $a_{n} \rightarrow+\infty$.
(ii) if $a_{0}<a$, then as $n \rightarrow+\infty$, $a_{n} \rightarrow 0$.",777d1d1a-73ae-5140-9eda-e7e83635521f,Algebra,proof,olympiads,2
"Show that

$$
\cos \frac{2 \pi}{7}+\cos \frac{4 \pi}{7}+\cos \frac{6 \pi}{7}=-\frac{1}{2}
$$",d5e4e697-fd0c-55a6-b6a9-8f53e4c7604d,Algebra,proof,olympiads,-\frac{1}{2}
"Determine all functions $f: \mathbb{R} \rightarrow \mathbb{R}$ for which

$$
f(2 x+f(y))=x+y+f(x)
$$

holds for all $x, y \in \mathbb{R}$.

(Gerhard Kirchner)

Answer. The only solution is $f(x)=x$ for all $x \in \mathbb{R}$.",0c45766d-5def-59c9-9bf1-b9c8438315aa,Algebra,proof,olympiads,f(x)=x
"【Example 2.19】In $\triangle A B C$, prove:
$$
\sin A \sin \left(\frac{A}{2}+B\right)=\sin B \sin \left(\frac{B}{2}+A\right) \Leftrightarrow a=b .
$$",762f672c-e8a9-5603-aaf0-e19efa9a6b8a,Algebra,proof,olympiads,b
"Show that the value of the following number $A$ is an integer:

$$
\begin{aligned}
A & =\frac{8795689 \cdot 8795688 \cdot 8795687 \cdot 8795686}{8795688^{2}+8795686^{2}+8795684^{2}+8795682^{2}}- \\
& -\frac{8795684 \cdot 8795683 \cdot 8795682 \cdot 8795681}{8795688^{2}+8795686^{2}+8795684^{2}+8795682^{2}}
\end{aligned}
$$",9ae7afcb-375d-5f9e-90b3-72e4d4d4e14a,Algebra,proof,olympiads,43978425
"4. [20] Let $a_{1}, a_{2}, a_{3}, a_{4}, a_{5}$ be real numbers whose sum is 20 . Determine with proof the smallest possible value of
$$
\sum_{1 \leq i<j \leq 5}\left\lfloor a_{i}+a_{j}\right\rfloor \text {. }
$$",5c40bcdd-8853-58f7-90db-76f5d8c1dcf8,Algebra,proof,olympiads,72
"Example 8 (2003 Hunan Province Competition Question) Let $x, y, z$ all take positive real numbers, and $x+y+z=1$. Find the minimum value of the ternary function $f(x, y, z)=\frac{3 x^{2}-x}{1+x^{2}}+\frac{3 y^{2}-y}{1+y^{2}}+\frac{3 z^{2}-z}{1+z^{2}}$, and provide a proof.",dab73964-adc9-5dd5-a041-c09195734cc8,Algebra,proof,olympiads,0
(Example 9 Prove: $\tan \frac{\pi}{7} \tan \frac{2 \pi}{7} \tan \frac{3 \pi}{7}=\sqrt{7}$.,8112957d-f2c8-591c-8fd2-6a168021b9db,Algebra,proof,olympiads,\sqrt{7}
"Problem 12.1. Let $a_{1}>0$ and $a_{n+1}=a_{n}+\frac{n}{a_{n}}$ for $n \geq 1$. Prove that:
a) $a_{n} \geq n$ for $n \geq 2$;

b) the sequence $\left\{\frac{a_{n}}{n}\right\}_{n \geq 1}$ converges and find its limit.

Oleg Mushkarov, Nikolai Nikolov",b801096a-ca2c-57e8-8055-4ea72e45a088,Algebra,proof,olympiads,1
"404. Prove the identity

$$
\frac{\sin \left(\frac{\pi}{6}+\alpha\right)+\sin \left(\frac{\pi}{6}-\alpha\right)}{\sin \left(\frac{\pi}{4}+\alpha\right)+\sin \left(\frac{\pi}{4}-\alpha\right)}=\frac{\sqrt{2}}{2}
$$",c1133f70-740a-5d7b-8428-5ef12d1206f9,Algebra,proof,olympiads,\frac{\sqrt{2}}{2}
"21. (GBR 3) Given that $x_{1}+x_{2}+x_{3}=y_{1}+y_{2}+y_{3}=x_{1} y_{1}+x_{2} y_{2}+x_{3} y_{3}=0$, prove that
$$
\frac{x_{1}^{2}}{x_{1}^{2}+x_{2}^{2}+x_{3}^{2}}+\frac{y_{1}^{2}}{y_{1}^{2}+y_{2}^{2}+y_{3}^{2}}=\frac{2}{3} .
$$",67e43e74-46c9-51d5-af0e-4f965cf1bd60,Algebra,proof,olympiads,\frac{2}{3}
"Three, given real numbers $\alpha_{1}, \alpha_{2}, \cdots, \alpha_{n}$ and $\beta_{1}, \beta_{2}, \cdots, \beta_{n}$ satisfy $\alpha_{1}^{2}+\alpha_{2}^{2}+\cdots+\alpha_{n}^{2}=\beta_{1}^{2}+\beta_{2}^{2}+\cdots$ $+\beta_{n}^{2}=1$ and $\alpha_{1} \beta_{1}+\alpha_{2} \beta_{2}+\cdots+\alpha_{n} \beta_{n}=0$. Prove: $\alpha_{1}^{2}+\beta_{1}^{2} \leqslant 1$.",d0745aa4-4d40-56a5-babf-0e5d23bff7d4,Algebra,proof,olympiads,1\geqslant\alpha_{1}^{2}+\beta_{1}^{2}
"5. A sequence $\left(a_{n}\right)_{n \geq 1}$ is defined by the recurrence relation

$$
a_{1}=1, a_{2}=5, a_{n}=\frac{a_{n-1}^{2}+4}{a_{n-2}}, \text { for } n \geq 3
$$

Prove that all terms of the sequence are integers and find an explicit formula for $a_{n}$.",b9db6e1d-693a-5af9-8698-b1394c7e1678,Algebra,proof,olympiads,a_{n}=\frac{2+\sqrt{2}}{4}(3-2\sqrt{2})^{n}+\frac{2-\sqrt{2}}{4}(3+2\sqrt{2})^{n}
"Problem 2. Let $(G, \cdot)$ be a multiplicative group with the identity element $e$ and $x, y \in G$. Show that if $x^{2}=e$ and $x y x=y^{3}$, then $y^{8}=e$.",e9acc20f-c44a-51ad-8d24-ab576b5ee7aa,Algebra,proof,olympiads,y^{8}=e
"3. The complex numbers $z_{1}, z_{2}, z_{3}$ satisfy the relations

$$
\left|2 z_{1}-z_{2}-z_{3}\right|=\left|z_{2}-z_{3}\right| \text { and }\left|2 z_{2}-z_{1}-z_{3}\right|=\left|z_{1}-z_{3}\right| .
$$

Prove that $z_{1}=z_{2}$",4a1ae53a-4751-5577-a23d-2a21a658495d,Algebra,proof,olympiads,z_{1}=z_{2}
16. Prove that the points of intersection of the parabolas $Y=X^{2}+X-41$ and $X=Y^{2}+Y-40$ lie on the same circle.,3d5d478a-6511-59a2-b3a7-fdd1428ea81f,Algebra,proof,olympiads,X^{2}+Y^{2}=81
"5. Prove: There is exactly one function $f$ defined on all non-zero real numbers that satisfies the conditions:
(1) For any $x \in \mathrm{R}, f(x)=x f\left(\frac{1}{x}\right)$;
(2) For all pairs of non-zero real numbers $(x, y)$ where $x \neq -y$, $f(x)+f(y)=1 + f(x+y)$.",a6e95145-cfe9-502b-9f8f-0129fcf9688e,Algebra,proof,olympiads,f(x)=x+1
"42 Given: For any $n \in \mathbf{N}$, $a_{n}>0$, and $\sum_{j=1}^{n} a_{j}^{3}=\left(\sum_{j=1}^{n} a_{j}\right)^{2}$, prove that $a_{n}=n$.

",defbec1d-d98d-52f7-97a1-30365c335d66,Algebra,proof,olympiads,a_{n}=n
"4. Consider some intermediate step in Kuzia's movement. If she is at point $A$ at this step, the probability of being in $A$ on the next step is zero. If, however, she is at any of the remaining points, $B, C$ or $D$, the probability of being in $A$ on the next step is $1 / 3$, since from each such point there are three equally likely paths, only one of which leads to $A$. Let $p_{k}$ be the probability that the flea is at point $A$ on the $k$-th step. Accordingly, the probability that she is not at point $A$ is $\left(1-p_{k}\right)$. Then on the next step, she will be in $A$ with the probability

$$
p_{k+1}=\left(1-p_{k}\right) \cdot \frac{1}{3}+p_{k} \cdot 0=\left(1-p_{k}\right) \cdot \frac{1}{3}
$$

Thus, $p_{0}=1, \quad p_{1}=0, \quad p_{2}=\frac{1}{3}$, and further we get

$$
p_{3}=\left(1-\frac{1}{3}\right) \cdot \frac{1}{3}=\frac{1}{3}-\frac{1}{9}, \ldots, p_{n}=\frac{1}{3}-\frac{1}{9}+\frac{1}{27} \cdots+\frac{(-1)^{n}}{3^{n-1}}
$$

The formula for $p_{n}$ when $n \geq 2$ can be proven by mathematical induction.

Base case: $p_{2}=\frac{(-1)^{2}}{3^{2-1}}=\frac{1}{3}$ - true.

Inductive step: Suppose the formula is true for $n=k$, that is, $p_{k}=\frac{1}{3}-\frac{1}{9}+\frac{1}{27} \cdots+\frac{(-1)^{k}}{3^{k-1}}$. Then

$$
p_{k+1}=\left(1-p_{k}\right) \cdot \frac{1}{3}=\left(1-\frac{1}{3}+\frac{1}{9}-\frac{1}{27}+\cdots-\frac{(-1)^{k}}{3^{k-1}}\right) \cdot \frac{1}{3}=
$$

$$
=\frac{1}{3}-\frac{1}{3 \cdot 3}+\frac{1}{9 \cdot 3}-\frac{1}{27 \cdot 3}+\cdots+\frac{(-1)^{k+1}}{3^{k-1} \cdot 3}=\frac{1}{3}-\frac{1}{9}+\frac{1}{27} \cdots+\frac{(-1)^{k+1}}{3^{k}}
$$

Thus, the formula is also true for $n=k+1$. Therefore, it is true for any $n \geq 2$. We see that $p_{n}$ represents the sum of the terms of a geometric progression with a common ratio of $-1 / 3$. Consequently, $P(A)=p_{2020}=\frac{1}{3} \cdot \frac{1-(-1 / 3)^{2019}}{1-(-1 / 3)}=\frac{1+(1 / 3)^{2019}}{4}=\frac{3^{2019}+1}{4 \cdot 3^{2019}} \simeq \frac{1}{4}$.",1a7a2d5f-bbcb-5da1-8849-fcd592af9ea4,Algebra,proof,olympiads,\frac{3^{2019}+1}{4\cdot3^{2019}}
"7.69 Let $a$ be a rational number, and $0<a<1$. If
$$
\cos (3 \pi a)+2 \cos (2 \pi a)=0 .
$$

Prove that $a=\frac{2}{3}$.
(32nd International Mathematical Olympiad Preliminary Problem, 1991)",20a6cfa5-5922-54cb-8a18-8203161d20eb,Algebra,proof,olympiads,\frac{2}{3}
"\section*{Exercise 2 - 081232}

a) Investigate whether the sequence \(a_{n}=\sqrt{25 n^{2}+7 n+1}-5 n\) is strictly monotonically decreasing.

b) Prove that all terms \(a_{n}\) of this sequence are greater than 0.7.",da4a28e2-621b-5a6b-bbfd-01966d12c8a1,Algebra,proof,olympiads,a_{n}>\frac{7}{10}
"131. Find the quadratic trinomial

$$
x^{2}+p x+q
$$

the deviation of which from zero on the interval from -1 to +1 has the smallest possible value.

$132^{* *}$. Prove that the deviation from zero of the polynomial

$$
x^{n}+a_{1} x^{n-1}+a_{2} x^{n-2}+\ldots+a_{n-1} x+a_{n}
$$

of degree $n$ with the leading coefficient 1 on the interval from -1 to +1 cannot be less than $\frac{1}{2^{n-1}}$ and equals $\frac{1}{2^{n-1}}$ only for the polynomial $\frac{1}{2^{n-1}} T_{n}(x)$ (see problem 130).",957d157d-4710-543a-94c2-2ff3450044a8,Algebra,proof,olympiads,P_{0}(x)=x^{2}-\frac{1}{2}
"395. Prove that if $S$ is the sum of the terms of a decreasing infinite geometric progression: $1, a^{p}, a^{2 p}, \ldots ; S_{1}$ is the sum of the terms of a decreasing infinite geometric progression $1, a^{q}, a^{2 q}, \ldots$, then

$$
S^{q}\left(S_{1}-1\right)^{p}=\left(S_{1}\right)^{p}(S-1)^{q}
$$",04cc86c2-fdc5-5295-b086-11704f01494b,Algebra,proof,olympiads,S^{q}(S_{1}-1)^{p}=S_{1}^{p}(S-1)^{q}
"We will prove that

$$
\cos \frac{2 \pi}{15}+\cos \frac{4 \pi}{15}-\cos \frac{7 \pi}{15}-\cos \frac{\pi}{15}=\frac{1}{2}
$$",00016efc-5b89-5f3f-ac41-22d30b2ce2b3,Algebra,proof,olympiads,\frac{1}{2}
"9. $\alpha, \beta$ are two acute angles satisfying $\sin ^{2} \alpha+\sin ^{2} \beta=\sin (\alpha+\beta)$, prove that: $\alpha+\beta=\frac{\pi}{2}$.

",02df9a1b-5faf-5cfb-99df-0a4a3253ac1e,Algebra,proof,olympiads,\alpha+\beta=\frac{\pi}{2}
Example 1 Original Proposition: Prove that $\frac{1}{\sin 24^{\circ}}+\frac{1}{\sin 48^{\circ}}+\frac{1}{\sin 96^{\circ}}=\frac{1}{\sin 12^{\circ}}$.,03807c6d-f93c-5dc3-a866-66bd42de7e33,Algebra,proof,olympiads,\frac{1}{\sin12}
"1. (12 points) Consider the quadratic functions $\mathrm{y}=x^{2}+p x+q$, for which $3 p+q=2023$. Show that the parabolas, which are the graphs of these functions, intersect at one point.",18fbe7c9-33f7-5d38-a34b-0d5eaa1c80cd,Algebra,proof,olympiads,(3;2032)
"## SUBJECT II

Let $\left(x_{n}\right)_{n \geq 1}$ be a strictly increasing sequence of natural numbers with the property that:

$$
x_{x_{n}}=4 n+9, \forall n \in N^{*}
$$

a. Show that such a sequence exists.

b. Calculate $\lim _{n \rightarrow \infty} \frac{x_{n}}{n^{2}}$",22c888b6-be5a-581a-b917-7cae78ecc375,Algebra,proof,olympiads,0
"
88.4. Let $m_{n}$ be the smallest value of the function

$$
f_{n}(x)=\sum_{k=0}^{2 n} x^{k}
$$

Show that $m_{n} \rightarrow \frac{1}{2}$, as $n \rightarrow \infty$.
",2b9f8d59-8657-5958-a72c-365e5d4294ca,Algebra,proof,olympiads,\frac{1}{2}
"6. Let non-zero real numbers $a, b, c$ satisfy the condition $a+b+c=0$. Prove:
$$
\frac{\left(a^{7}+b^{7}+c^{7}\right)^{2}}{\left(a^{2}+b^{2}+c^{2}\right)\left(a^{3}+b^{3}+c^{3}\right)\left(a^{4}+b^{4}+c^{4}\right)\left(a^{5}+b^{5}+c^{5}\right)}=\frac{49}{60} \text {. }
$$",dd0afcad-dbe5-53b6-aaf9-e1f7a076c748,Algebra,proof,olympiads,\frac{49}{60}
"[Trigonometric Identities.]

From the condition $\operatorname{tg} \phi=1 / \cos \alpha \cos \beta+\operatorname{tg} \alpha \operatorname{tg} \beta$ derive that $\cos 2 \phi \leq 0$.

#",7f880cb8-15c6-51ce-99f2-b419818b9dd2,Algebra,proof,olympiads,\cos2\phi\leq0
"Task A-3.6. (20 points)

Let $\alpha, \beta$ and $\gamma$ be angles such that $\beta=60^{\circ}+\alpha$ and $\gamma=60^{\circ}+\beta$. Prove that the value of the expression

$$
\operatorname{tg} \alpha \operatorname{tg} \beta+\operatorname{tg} \beta \operatorname{tg} \gamma+\operatorname{tg} \gamma \operatorname{tg} \alpha
$$

is an integer whenever the expression is defined.",2b7a5032-8857-5b1f-963d-0c740ae2f926,Algebra,proof,olympiads,-3
"Bervov s.l.

Given a quadratic trinomial $f(x)=x^{2}+a x+b$. The equation $f(f(x))=0$ has four distinct real roots, the sum of two of which is -1. Prove that $b \leq-1 / 4$.

#",838d6e0f-2a36-55a6-a934-c822fc800069,Algebra,proof,olympiads,b\leq-\frac{1}{4}
